tree_id,species_name,dbh_in,x_coord,y_coord,collection_date,collector,height_ft,canopy_cover_ft,tree_condition,leaf_area_ft,leaf_biomass_lbs,leaf_area_index,basal_area_ft,street_tree,native_to_state,structural_value_dollars,carbon_storage_lbs,carbon_storage_dollars,gross_carbon_sequestration_lb_per_year,gross_carbon_sequestration_dollars_per_year,avoided_runoff_ft_per_year,avoided_runoff_dollars_per_year,carbon_avoided_lbs_per_year,carbon_avoided_dollars_per_year,pollution_removal_oz_per_year,pollution_removal_dollars_per_year,energy_savings_dollars_per_year,total_annual_benefits_dollars_per_year,leaf_area_2_ft,potential_evapotranspiration_ft_per_year,evaporation_ft_per_year,transpiration_ft_per_year,water_intercepted_ft_per_year,avoided_runoff_2_ft_per_year,avoided_runoff_value_dollars_per_year,co_removed_oz_per_year,o3_removed_oz_per_year,no2_removed_oz_per_year,so2_removed_ox_per_year,pm25_removed_oz_per_year,co_value_dollars_per_year,o3_value_dollars_per_year,no2_value_dollars_per_year,so2_value_dollars_per_year,pm25_value_dollars_per_year,oxygen_production_lbs_per_year,isoprene_oz_per_year,monoterpene_oz_per_year,vocs_oz_per_year,pollution_value_dollars_per_year,carbon_avoided_2_oz_per_year,carbon_avoided_2_dollars_per_year,heating_MBTU_per_year,heating_dollars_per_year,heating_Kwh_per_year,heating_2_dollars_per_year,cooling_Kwh_per_year,cooling_dollars_per_year,total_energy_savings_dollars_per_year
6284,American basswood,1.6,-86.12559624,42.77121154,6/12/18,GIS_Intern_BPW,16.8,44.2,FAIR,179.6,1.1,4.1,0,NO,YES,48.94,3,0.26,0.7,0.06,1.4,0.09,-2.6,-0.22,0.7,0.07,-0.7,-0.69,179.6,43.5,6.6,16.3,6.6,1.4,0.09,0,0.6,0,0,0,0,0.02,0,0,0.05,2,0,0,0,0.07,-2.62,-0.22,-0.05,-0.65,-0.39,-0.06,0.04,0.01,-0.7
6389,American basswood,16.7,-86.10237228,42.77407156,7/3/18,GIS_Intern_BPW,61.6,611.4,FAIR,4164.4,24.9,6.8,1.5,NO,YES,2395.55,760.9,64.89,16.9,1.44,32.4,2.17,55.9,4.77,15.4,1.69,15.1,25.17,4164.4,1008.2,152.3,378.6,152.6,32.4,2.17,0.2,13,1.1,0.5,0.6,0.01,0.52,0.01,0,1.15,45.1,0,0,0,1.69,55.93,4.77,0.91,12.62,7.5,1.06,10.1,1.42,15.1
6446,American basswood,14.3,-86.12547524,42.77169379,6/12/18,GIS_Intern_BPW,57.1,502.7,FAIR,3409.3,20.4,6.8,1.1,NO,YES,1823.63,527.8,45.01,13.7,1.17,26.5,1.77,55.9,4.77,12.6,1.38,15.1,24.2,3409.3,825.4,124.7,309.9,124.9,26.5,1.77,0.2,10.6,0.9,0.4,0.5,0.01,0.42,0.01,0,0.94,36.6,0,0,0,1.38,55.93,4.77,0.91,12.62,7.5,1.06,10.1,1.42,15.1
6482,American basswood,17.6,-86.07323806,42.78695055,5/31/18,GIS_Intern_BPW,63,656,FAIR,4426.1,26.5,6.7,1.7,NO,YES,2632.85,861.2,73.44,18.2,1.55,34.4,2.3,58.4,4.98,16.3,1.8,16.07,26.7,4426.1,1071.6,161.9,402.3,162.2,34.4,2.3,0.2,13.8,1.2,0.5,0.6,0.01,0.55,0.01,0,1.23,48.4,0,0,0,1.8,58.36,4.98,0.83,11.56,6.86,0.97,25.19,3.55,16.07
6506,American basswood,19.7,-86.10020536,42.77313472,7/11/18,GIS_Intern_BPW,65.8,749.9,FAIR,4894.2,29.3,6.5,2.1,NO,YES,3234.98,1123.4,95.8,21.1,1.8,38.1,2.54,58.4,4.98,18.1,1.99,16.07,27.39,4894.2,1184.9,179,444.9,179.3,38.1,2.54,0.2,15.3,1.3,0.6,0.7,0.01,0.61,0.01,0,1.36,56.4,0,0,0,1.99,58.36,4.98,0.83,11.56,6.86,0.97,25.19,3.55,16.07
6556,American basswood,1.7,-86.06138741,42.78560732,6/1/18,GIS_Intern_BPW,17.2,46.6,FAIR,188.9,1.1,4.1,0,NO,YES,48.94,3.5,0.3,0.8,0.07,1.5,0.1,-1,-0.08,0.7,0.08,-0.26,-0.1,188.9,45.7,6.9,17.2,6.9,1.5,0.1,0,0.6,0.1,0,0,0,0.02,0,0,0.05,2.1,0,0,0,0.07,-0.98,-0.08,-0.02,-0.25,-0.15,-0.02,0.08,0.01,-0.26
6626,American basswood,16.3,-86.12549139,42.77189854,6/12/18,GIS_Intern_BPW,60.9,594,FAIR,4053.3,24.2,6.8,1.4,NO,YES,2294.08,718.6,61.28,16.4,1.4,31.5,2.11,47.4,4.04,15,1.65,13.53,22.72,4053.3,981.3,148.3,368.5,148.5,31.5,2.11,0.2,12.7,1.1,0.5,0.6,0.01,0.51,0.01,0,1.12,43.6,0,0,0,1.65,47.4,4.04,0.5,6.98,4.1,0.58,42.4,5.97,13.53
6720,American basswood,37.6,-86.10030889,42.77120136,6/27/18,GIS_Intern_BPW,70,1412,FAIR,7527.1,45,5.3,7.7,NO,YES,10480.32,5158,439.85,50.7,4.33,58.5,3.91,85.7,7.31,27.8,3.06,23.02,41.63,7527.1,1822.3,275.4,684.2,275.8,58.5,3.91,0.4,23.5,2,0.8,1.1,0.02,0.94,0.02,0,2.09,135.3,0,0,0,3.07,85.74,7.31,1.43,19.99,11.94,1.68,9.62,1.35,23.02
6731,American basswood,4.9,-86.05985847,42.78689699,5/29/18,GIS_Intern_BPW,29.9,126.7,FAIR,583.2,3.5,4.6,0.1,NO,YES,184.74,42.2,3.6,3.2,0.28,4.5,0.3,15.1,1.29,2.2,0.24,4.05,6.15,583.2,141.2,21.3,53,21.4,4.5,0.3,0,1.8,0.2,0.1,0.1,0,0.07,0,0,0.16,8.7,0,0,0,0.23,15.09,1.29,0.25,3.53,2.11,0.3,1.55,0.22,4.05
6734,American basswood,16.2,-86.05986754,42.78689803,5/29/18,GIS_Intern_BPW,60.6,589.6,FAIR,4008.9,24,6.8,1.4,NO,YES,2266.94,707.4,60.32,16.2,1.38,31.2,2.08,85.7,7.31,14.8,1.63,22.96,35.36,4008.9,970.6,146.7,364.4,146.9,31.2,2.08,0.2,12.5,1.1,0.5,0.6,0.01,0.5,0.01,0,1.11,43.3,0,0,0,1.63,85.68,7.31,1.45,20.24,12.09,1.7,7.2,1.01,22.96
